measurement_column,SeqId,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Units,Type,Dilution,PlateScale_Reference
SeqId,SeqId,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Units,Type,Dilution,PlateScale_Reference
4924-32_1,4924-32_1,SL000521,Interstitial collagenase,MMP-1,P03956,4312,MMP1,Human,RFU,Protein,20,100.0
4925-54_2,4925-54_2,SL000523,Collagenase 3,MMP-13,P45452,4322,MMP13,Human,RFU,Protein,20,36.55
4929-55_1,4929-55_1,SL005102,Sex hormone-binding globulin,SHBG,P04278,6462,SHBG,Human,RFU,Protein,20,18371.4
4930-21_1,4930-21_1,SL005789,Stanniocalcin-1,Stanniocalcin-1,P52823,6781,STC1,Human,RFU,Protein,20,7962.049999999999
4931-59_1,4931-59_1,SL000024,Tissue Factor,TF,P13726,2152,F3,Human,RFU,Protein,20,74.75
4956-2_1,4956-2_1,SL000139,Epiregulin,EPI,O14944,2069,EREG,Human,RFU,Protein,20,43.55
4957-1_2,4957-1_2,SL004605,40S ribosomal protein SA,40S ribosomal protein SA,P08865,3921,RPSA,Human,RFU,Protein,20,169.35
4959-2_1,4959-2_1,SL004925,Anterior gradient protein 2 homolog,AGR2,O95994,10551,AGR2,Human,RFU,Protein,20,22.549999999999997
4960-72_1,4960-72_1,SL004208,Annexin A1,annexin I,P04083,301,ANXA1,Human,RFU,Protein,20,1124.5
4961-17_1,4961-17_1,SL004209,Annexin A2,annexin II,P07355,302,ANXA2,Human,RFU,Protein,20,1905.9
4962-52_1,4962-52_1,SL012538,Cerebral dopamine neurotrophic factor,ARMEL,Q49AH0,441549,CDNF,Human,RFU,Protein,20,522.45
4963-19_1,4963-19_1,SL011708,cAMP-regulated phosphoprotein 19,ARP19,P56211,10776,ARPP19,Human,RFU,Protein,20,65.9
4964-67_1,4964-67_1,SL007729,Endoplasmic reticulum aminopeptidase 1,ARTS1,Q9NZ08,51752,ERAP1,Human,RFU,Protein,20,7991.3
4965-27_1,4965-27_1,SL005675,"ATP synthase subunit beta, mitochondrial",ATP synthase beta chain,P06576,506,ATP5B,Human,RFU,Protein,20,49.150000000000006
4967-1_1,4967-1_1,SL008177,"Complement component 1 Q subcomponent-binding protein, mitochondrial",C1QBP,Q07021,708,C1QBP,Human,RFU,Protein,20,423.6
4968-50_1,4968-50_1,SL008099,Macrophage-capping protein,CAPG,P40121,822,CAPG,Human,RFU,Protein,20,156.8
4969-2_1,4969-2_1,SL004866,Carbonic anhydrase 1,Carbonic anhydrase I,P00915,759,CA1,Human,RFU,Protein,20,168.05
4970-55_1,4970-55_1,SL000339,Carbonic anhydrase 2,carbonic anhydrase II,P00918,760,CA2,Human,RFU,Protein,20,21.6
4971-1_1,4971-1_1,SL008380,Cathepsin Z,CATZ,Q9UBR2,1522,CTSZ,Human,RFU,Protein,20,21813.85
4973-18_1,4973-18_1,SL003728,Baculoviral IAP repeat-containing protein 3,cIAP-2,Q13489,330,BIRC3,Human,RFU,Protein,20,18.35
4976-57_1,4976-57_1,SL013240,Adapter molecule crk,CRK,P46108,1398,CRK,Human,RFU,Protein,20,844.7
4978-54_2,4978-54_2,SL011628,Drebrin-like protein,DBNL,Q9UJU6,28988,DBNL,Human,RFU,Protein,20,624.65
4979-34_2,4979-34_2,SL008178,Dermatopontin,DERM,Q07507,1805,DPT,Human,RFU,Protein,20,1474.0
4981-6_1,4981-6_1,SL008709,Desmocollin-3,DSC3,Q14574,1825,DSC3,Human,RFU,Protein,20,26.95
4982-54_1,4982-54_1,SL004458,Elafin,Elafin,P19957,5266,PI3,Human,RFU,Protein,20,3289.3
4983-6_1,4983-6_1,SL003522,Endoplasmic reticulum resident protein 29,ERP29,P30040,10961,ERP29,Human,RFU,Protein,20,3789.2
4984-83_1,4984-83_1,SL006378,S-formylglutathione hydrolase,Esterase D,P10768,2098,ESD,Human,RFU,Protein,20,824.3
4985-11_1,4985-11_1,SL005352,"Fatty acid-binding protein, epidermal",FABPE,Q01469,2171,FABP5,Human,RFU,Protein,20,38.5
4986-59_1,4986-59_1,SL012248,Focal adhesion kinase 1,FAK1,Q05397,5747,PTK2,Human,RFU,Protein,20,20.15
4987-17_1,4987-17_1,SL010373,Immunoglobulin alpha Fc receptor,FCAR,P24071,2204,FCAR,Human,RFU,Protein,20,19.15
4988-49_2,4988-49_2,SL002036,Fibroblast growth factor receptor 4,FGFR4,P22455,2264,FGFR4,Human,RFU,Protein,20,40.5
4989-7_1,4989-7_1,SL003341,Fibrinogen gamma chain,Fibrinogen g-chain dimer,P02679,2266,FGG,Human,RFU,Protein,20,23082.85
4990-87_1,4990-87_1,SL006460,Platelet glycoprotein Ib alpha chain,GP1BA,P07359,2811,GP1BA,Human,RFU,Protein,20,38.25
4991-12_1,4991-12_1,SL012469,Glypican-5,GPC5,P78333,2262,GPC5,Human,RFU,Protein,20,380.04999999999995
4992-49_1,4992-49_1,SL007173,Granulins,GRN,P28799,2896,GRN,Human,RFU,Protein,20,12999.05
4993-16_1,4993-16_1,SL000670,Glutathione S-transferase A3,GSTA3,Q16772,2940,GSTA3,Human,RFU,Protein,20,20.700000000000003
4994-178_1,4994-178_1,SL002756,Heterogeneous nuclear ribonucleoprotein K,hnRNP K,P61978,3190,HNRNPK,Human,RFU,Protein,20,20.55
4995-16_1,4995-16_1,SL003930,15-hydroxyprostaglandin dehydrogenase [NAD(+)],HPG-,P15428,3248,HPGD,Human,RFU,Protein,20,325.9
4996-66_1,4996-66_1,SL006448,Histidine-rich glycoprotein,HRG,P04196,3273,HRG,Human,RFU,Protein,20,19981.15
4997-19_1,4997-19_1,SL011616,Eukaryotic initiation factor 4A-III,IF4A3,P38919,9775,EIF4A3,Human,RFU,Protein,20,23.4
4998-50_2,4998-50_2,SL007025,Tyrosine-protein kinase JAK2,JAK2,O60674,3717,JAK2,Human,RFU,Protein,20,1649.8
5000-52_1,5000-52_1,SL006522,Galectin-3-binding protein,LG3BP,Q08380,3959,LGALS3BP,Human,RFU,Protein,20,857.8
5001-6_2,5001-6_2,SL001973,Mammaglobin-B,Mammaglobin 2,O75556,4246,SCGB2A1,Human,RFU,Protein,20,6373.7
5002-76_1,5002-76_1,SL002646,Matrix metalloproteinase-14,MMP-14,P50281,4323,MMP14,Human,RFU,Protein,20,57.75
5004-69_1,5004-69_1,SL007453,Mitogen-activated protein kinase 11,MK11,Q15759,5600,MAPK11,Human,RFU,Protein,20,62.75
5005-4_1,5005-4_1,SL007281,Mitogen-activated protein kinase 12,MK12,P53778,6300,MAPK12,Human,RFU,Protein,20,43.8
5006-71_1,5006-71_1,SL006993,Mitogen-activated protein kinase 13,MK13,O15264,5603,MAPK13,Human,RFU,Protein,20,25.05
5007-1_1,5007-1_1,SL006920,Mitogen-activated protein kinase 14,MAPK14,Q16539,1432,MAPK14,Human,RFU,Protein,20,76.55000000000001
5008-51_1,5008-51_1,SL001815,"Superoxide dismutase [Mn], mitochondrial",Mn SOD,P04179,6648,SOD2,Human,RFU,Protein,20,33804.85
5009-11_1,5009-11_1,SL005846,Moesin,Moesin,P26038,4478,MSN,Human,RFU,Protein,20,60.45
5011-11_1,5011-11_1,SL003685,Nicotinamide phosphoribosyltransferase,PBEF,P43490,10135,NAMPT,Human,RFU,Protein,20,37.7
5012-67_1,5012-67_1,SL004296,Adenylate kinase isoenzyme 1,"Myokinase, human",P00568,203,AK1,Human,RFU,Protein,20,7166.65
5013-2_1,5013-2_1,SL004915,Chloride intracellular channel protein 1,NCC27,O00299,1192,CLIC1,Human,RFU,Protein,20,281.45
5014-49_1,5014-49_1,SL006091,Cytoplasmic protein NCK1,NCK1,P16333,4690,NCK1,Human,RFU,Protein,20,582.0
5015-15_1,5015-15_1,SL003440,Platelet-activating factor acetylhydrolase,PAFAH,Q13093,7941,PLA2G7,Human,RFU,Protein,20,1322.3000000000002
5016-61_2,5016-61_2,SL008933,Protein deglycase DJ-1,PARK7,Q99497,11315,PARK7,Human,RFU,Protein,20,30.9
